version,argo,asm-all,authlib,bcprov-jdk15on,blocklist,brigadier,codecjorbis,codecwav,commons-codec,commons-compress,commons-io,commons-lang3,commons-logging,datafixerupper,failureaccess,fastutil,gson,guava,httpclient,httpcore,icu4j,icu4j-core-mojang,java-objc-bridge-osx,javabridge,jinput,jinput-platform,jna,jna-platform,joml,jopt-simple,jutils,launchwrapper,libraryjavasound,librarylwjglopenal,log4j-api,log4j-core,log4j-slf4j18-impl,log4j-slf4j2-impl,logging,lwjgl,lwjgl-!osx,lwjgl-glfw,lwjgl-glfw-!osx,lwjgl-glfw-natives-linux,lwjgl-glfw-natives-macos,lwjgl-glfw-natives-macos-arm64,lwjgl-glfw-natives-windows,lwjgl-glfw-natives-windows-arm64,lwjgl-glfw-natives-windows-x86,lwjgl-glfw-osx,lwjgl-jemalloc,lwjgl-jemalloc-!osx,lwjgl-jemalloc-natives-linux,lwjgl-jemalloc-natives-macos,lwjgl-jemalloc-natives-macos-arm64,lwjgl-jemalloc-natives-windows,lwjgl-jemalloc-natives-windows-arm64,lwjgl-jemalloc-natives-windows-x86,lwjgl-jemalloc-osx,lwjgl-natives-linux,lwjgl-natives-macos,lwjgl-natives-macos-arm64,lwjgl-natives-windows,lwjgl-natives-windows-arm64,lwjgl-natives-windows-x86,lwjgl-openal,lwjgl-openal-!osx,lwjgl-openal-natives-linux,lwjgl-openal-natives-macos,lwjgl-openal-natives-macos-arm64,lwjgl-openal-natives-windows,lwjgl-openal-natives-windows-arm64,lwjgl-openal-natives-windows-x86,lwjgl-openal-osx,lwjgl-opengl,lwjgl-opengl-!osx,lwjgl-opengl-natives-linux,lwjgl-opengl-natives-macos,lwjgl-opengl-natives-macos-arm64,lwjgl-opengl-natives-windows,lwjgl-opengl-natives-windows-arm64,lwjgl-opengl-natives-windows-x86,lwjgl-opengl-osx,lwjgl-osx,lwjgl-platform,lwjgl-platform-!osx,lwjgl-platform-osx,lwjgl-stb,lwjgl-stb-!osx,lwjgl-stb-natives-linux,lwjgl-stb-natives-macos,lwjgl-stb-natives-macos-arm64,lwjgl-stb-natives-windows,lwjgl-stb-natives-windows-arm64,lwjgl-stb-natives-windows-x86,lwjgl-stb-osx,lwjgl-tinyfd,lwjgl-tinyfd-!osx,lwjgl-tinyfd-natives-linux,lwjgl-tinyfd-natives-macos,lwjgl-tinyfd-natives-macos-arm64,lwjgl-tinyfd-natives-windows,lwjgl-tinyfd-natives-windows-arm64,lwjgl-tinyfd-natives-windows-x86,lwjgl-tinyfd-osx,lwjgl_util,lwjgl_util-!osx,lwjgl_util-osx,netty,netty-all,netty-buffer,netty-codec,netty-common,netty-handler,netty-resolver,netty-transport,netty-transport-classes-epoll,netty-transport-native-epoll-linux-aarch_64,netty-transport-native-epoll-linux-x86_64,netty-transport-native-unix-common,oshi-core,patchy,platform,realms,slf4j-api,soundsystem,text2speech,trove4j,twitch,twitch-external-platform-windows,twitch-platform-!linux,vecmath
1.0,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.1,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.2.2,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.2.4,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.2.5,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.3,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.3.1,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.3.2,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
1.4,,4.1,,,,,,,,,,,,,,,,,,,,,,,2.0.5,2.0.5,,,,4.5,1.0.0,1.5,,,,,,,,,2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.1-nightly-20130708-debug3,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,2.9.0,2.9.1-nightly-20130708-debug3,,,,,,,,,,,,,,,,,,,,,,,,
